OpenJDK 64-Bit Server VM (25.362-b08) for linux-amd64 JRE (1.8.0_362-b08), built on Jan 25 2023 16:43:50 by "mockbuild" with gcc 4.8.5 20150623 (Red Hat 4.8.5-44)
Memory: 4k page, physical 58720256k(58713180k free), swap 0k(0k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=/opt/CA/itoa/ade/logs/heap_dump.bin -XX:InitialHeapSize=268435456 -XX:MaxHeapFreeRatio=70 -XX:MaxHeapSize=42949672960 -XX:MinHeapFreeRatio=10 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2023-04-09T19:11:46.120+0000: 71.540: [GC (Allocation Failure) [PSYoungGen: 102752K->12256K(126976K)] 371601K->292153K(463872K), 0.0635032 secs] [Times: user=0.25 sys=0.00, real=0.07 secs] 
2023-04-09T19:11:46.758+0000: 72.178: [GC (Allocation Failure) [PSYoungGen: 103904K->12224K(129536K)] 383801K->304321K(466432K), 0.0712312 secs] [Times: user=0.27 sys=0.01, real=0.07 secs] 
2023-04-09T19:11:47.416+0000: 72.836: [GC (Allocation Failure) [PSYoungGen: 112064K->13344K(131072K)] 404161K->317673K(467968K), 0.0730143 secs] [Times: user=0.28 sys=0.02, real=0.07 secs] 
2023-04-09T19:11:48.091+0000: 73.511: [GC (Allocation Failure) [PSYoungGen: 113184K->13408K(134144K)] 417513K->331025K(471040K), 0.0774765 secs] [Times: user=0.32 sys=0.02, real=0.07 secs] 
2023-04-09T19:11:48.829+0000: 74.249: [GC (Allocation Failure) [PSYoungGen: 120928K->14304K(135680K)] 438545K->345241K(472576K), 0.0755658 secs] [Times: user=0.28 sys=0.01, real=0.08 secs] 
2023-04-09T19:11:48.905+0000: 74.325: [Full GC (Ergonomics) [PSYoungGen: 14304K->0K(135680K)] [ParOldGen: 330937K->334359K(515584K)] 345241K->334359K(651264K), [Metaspace: 76722K->76722K(79872K)], 0.6020746 secs] [Times: user=4.08 sys=0.17, real=0.60 secs] 
2023-04-09T19:11:50.101+0000: 75.521: [GC (Allocation Failure) [PSYoungGen: 107520K->10016K(141312K)] 441879K->377143K(656896K), 0.1093795 secs] [Times: user=0.64 sys=0.02, real=0.11 secs] 
2023-04-09T19:11:50.919+0000: 76.338: [GC (Allocation Failure) [PSYoungGen: 124192K->15264K(140800K)] 491319K->392367K(656384K), 0.0886859 secs] [Times: user=0.32 sys=0.00, real=0.09 secs] 
2023-04-09T19:11:51.743+0000: 77.163: [GC (Allocation Failure) [PSYoungGen: 129440K->15232K(158208K)] 506543K->407527K(673792K), 0.0936939 secs] [Times: user=0.34 sys=0.02, real=0.09 secs] 
2023-04-09T19:11:52.740+0000: 78.160: [GC (Allocation Failure) [PSYoungGen: 148352K->17696K(158720K)] 540647K->425175K(674304K), 0.1332501 secs] [Times: user=0.41 sys=0.00, real=0.14 secs] 
2023-04-09T19:11:53.860+0000: 79.280: [GC (Allocation Failure) [PSYoungGen: 150816K->17728K(181248K)] 558295K->442903K(696832K), 0.1119919 secs] [Times: user=0.39 sys=0.02, real=0.11 secs] 
2023-04-09T19:11:55.105+0000: 80.524: [GC (Allocation Failure) [PSYoungGen: 172864K->20672K(181248K)] 598039K->463559K(696832K), 0.1448867 secs] [Times: user=0.48 sys=0.02, real=0.14 secs] 
2023-04-09T19:11:56.500+0000: 81.920: [GC (Allocation Failure) [PSYoungGen: 175808K->20640K(208384K)] 618695K->484143K(723968K), 0.1262827 secs] [Times: user=0.47 sys=0.02, real=0.13 secs] 
2023-04-09T19:11:57.792+0000: 83.211: [GC (Allocation Failure) [PSYoungGen: 201376K->24000K(208896K)] 664879K->508135K(724480K), 0.1272418 secs] [Times: user=0.49 sys=0.01, real=0.12 secs] 
2023-04-09T19:11:59.112+0000: 84.532: [GC (Allocation Failure) [PSYoungGen: 204736K->24000K(229376K)] 688871K->532167K(744960K), 0.1366488 secs] [Times: user=0.51 sys=0.02, real=0.13 secs] 
2023-04-09T19:11:59.249+0000: 84.669: [Full GC (Ergonomics) [PSYoungGen: 24000K->0K(229376K)] [ParOldGen: 508167K->513638K(724480K)] 532167K->513638K(953856K), [Metaspace: 76733K->76733K(79872K)], 0.8777860 secs] [Times: user=6.13 sys=0.18, real=0.88 secs] 
2023-04-09T19:12:01.720+0000: 87.140: [GC (Allocation Failure) [PSYoungGen: 199168K->26432K(230912K)] 712806K->540078K(955392K), 0.1321404 secs] [Times: user=0.29 sys=0.00, real=0.14 secs] 
2023-04-09T19:12:03.369+0000: 88.789: [GC (Allocation Failure) [PSYoungGen: 225600K->26400K(259584K)] 739246K->566542K(984064K), 0.1614250 secs] [Times: user=0.59 sys=0.02, real=0.17 secs] 
2023-04-09T19:12:05.225+0000: 90.645: [GC (Allocation Failure) [PSYoungGen: 252192K->29920K(261120K)] 792334K->596534K(985600K), 0.1917846 secs] [Times: user=0.86 sys=0.02, real=0.19 secs] 
2023-04-09T19:12:07.054+0000: 92.474: [GC (Allocation Failure) [PSYoungGen: 255712K->29920K(294400K)] 822326K->626566K(1018880K), 0.1878659 secs] [Times: user=0.68 sys=0.03, real=0.19 secs] 
2023-04-09T19:12:08.915+0000: 94.335: [GC (Allocation Failure) [PSYoungGen: 255630K->29248K(296448K)] 852276K->655934K(1020928K), 0.2009665 secs] [Times: user=0.75 sys=0.02, real=0.20 secs] 
